År;ink from;ink tom;gr avdrag
2025;242700;243600;39300
2025;243700;244600;39200
2025;244700;245600;39100
2025;245700;246600;39000
2025;246700;247600;38900
2025;247700;248600;38800
2025;248700;249600;38700
2025;249700;250600;38600
2025;250700;251600;38500
2025;251700;252600;38400
2025;252700;253600;38300
2025;253700;254600;38200
2025;254700;255600;38100
2025;255700;256600;38000
2025;256700;257600;37900
2025;257700;258600;37800
2025;258700;259600;37700
2025;259700;260600;37600
2025;260700;261600;37500
2025;261700;262600;37400
2025;262700;263600;37300
2025;263700;264600;37200
2025;264700;265600;37100
2025;265700;266600;37000
2025;266700;267600;36900
2025;267700;268600;36800
2025;268700;269600;36700
2025;269700;270600;36600
2025;270700;271600;36500
2025;271700;272600;36400
2025;272700;273600;36300
2025;273700;274600;36200
2025;274700;275600;36100
2025;275700;276600;36000
2025;276700;277600;35900
2025;277700;278600;35800
2025;278700;279600;35700
2025;279700;280600;35600
2025;280700;281600;35500
2025;281700;282600;35400
2025;282700;283600;35300
2025;283700;284600;35200
2025;284700;285600;35100
2025;285700;286600;35000
2025;286700;287600;34900
2025;287700;288600;34800
2025;288700;289600;34700
2025;289700;290600;34600
2025;290700;291600;34500
2025;291700;292600;34400
2025;292700;293600;34300
2025;293700;294600;34200
2025;294700;295600;34100
2025;295700;296600;34000
2025;296700;297600;33900
2025;297700;298600;33800
2025;298700;299600;33700
2025;299700;300600;33600
2025;300700;301600;33500
2025;301700;302600;33400
2025;302700;303600;33300
2025;303700;304600;33200
2025;304700;305600;33100
2025;305700;306600;33000
2025;306700;307600;32900
2025;307700;308600;32800
2025;308700;309600;32700
2025;309700;310600;32600
2025;310700;311600;32500
2025;311700;312600;32400
2025;312700;313600;32300
2025;313700;314600;32200
2025;314700;315600;32100
2025;315700;316600;32000
2025;316700;317600;31900
2025;317700;318600;31800
2025;318700;319600;31700
2025;319700;320600;31600
2025;320700;321600;31500
2025;321700;322600;31400
2025;322700;323600;31300
2025;323700;324600;31200
2025;324700;325600;31100
2025;325700;326600;31000
2025;326700;327600;30900
2025;327700;328600;30800
2025;328700;329600;30700
2025;329700;330600;30600
2025;330700;331600;30500
2025;331700;332600;30400
2025;332700;333600;30300
2025;333700;334600;30200
2025;334700;335600;30100
2025;335700;336600;30000
2025;336700;337600;29900
2025;337700;338600;29800
2025;338700;339600;29700
2025;339700;340600;29600
2025;340700;341600;29500
2025;341700;342600;29400
2025;342700;343600;29300
2025;343700;344600;29200
2025;344700;345600;29100
2025;345700;346600;29000
2025;346700;347600;28900
2025;347700;348600;28800
2025;348700;349600;28700
2025;349700;350600;28600
2025;350700;351600;28500
2025;351700;352600;28400
2025;352700;353600;28300
2025;353700;354600;28200
2025;354700;355600;28100
2025;355700;356600;28000
2025;356700;357600;27900
2025;357700;358600;27800
2025;358700;359600;27700
2025;359700;360600;27600
2025;360700;361600;27500
2025;361700;362600;27400
2025;362700;363600;27300
2025;363700;364600;27200
2025;364700;365600;27100
2025;365700;366600;27000
2025;366700;367600;26900
2025;367700;368600;26800
2025;368700;369600;26700
2025;369700;370600;26600
2025;370700;371600;26500
2025;371700;372600;26400
2025;372700;373600;26300
2025;373700;374600;26200
2025;374700;375600;26100
2025;375700;376600;26000
2025;376700;377600;25900
2025;377700;378600;25800
2025;378700;379600;25700
2025;379700;380600;25600
2025;380700;381600;25500
2025;381700;382600;25400
2025;382700;383600;25300
2025;383700;384600;25200
2025;384700;385600;25100
2025;385700;386600;25000
2025;386700;387600;24900
2025;387700;388600;24800
2025;388700;389600;24700
2025;389700;390600;24600
2025;390700;391600;24500
2025;391700;392600;24400
2025;392700;393600;24300
2025;393700;394600;24200
2025;394700;395600;24100
2025;395700;396600;24000
2025;396700;397600;23900
2025;397700;398600;23800
2025;398700;399600;23700
2025;399700;400600;23600
2025;400700;401600;23500
2025;401700;402600;23400
2025;402700;403600;23300
2025;403700;404600;23200
2025;404700;405600;23100
2025;405700;406600;23000
2025;406700;407600;22900
2025;407700;408600;22800
2025;408700;409600;22700
2025;409700;410600;22600
2025;410700;411600;22500
2025;411700;412600;22400
2025;412700;413600;22300
2025;413700;414600;22200
2025;414700;415600;22100
2025;415700;416600;22000
2025;416700;417600;21900
2025;417700;418600;21800
2025;418700;419600;21700
2025;419700;420600;21600
2025;420700;421600;21500
2025;421700;422600;21400
2025;422700;423600;21300
2025;423700;424600;21200
2025;424700;425600;21100
2025;425700;426600;21000
2025;426700;427600;20900
2025;427700;428600;20800
2025;428700;429600;20700
2025;429700;430600;20600
2025;430700;431600;20500
2025;431700;432600;20400
2025;432700;433600;20300
2025;433700;434600;20200
2025;434700;435600;20100
2025;435700;436600;20000
2025;436700;437600;19900
2025;437700;438600;19800
2025;438700;439600;19700
2025;439700;440600;19600
2025;440700;441600;19500
2025;441700;442600;19400
2025;442700;443600;19300
2025;443700;444600;19200
2025;444700;445600;19100
2025;445700;446600;19000
2025;446700;447600;18900
2025;447700;448600;18800
2025;448700;449600;18700
2025;449700;450600;18600
2025;450700;451600;18500
2025;451700;452600;18400
2025;452700;453600;18300
2025;453700;454600;18200
2025;454700;455600;18100
2025;455700;456600;18000
2025;456700;457600;17900
2025;457700;458600;17800
2025;458700;459600;17700
2025;459700;460600;17600
2025;460700;461600;17500
2025;461700;462600;17400
2025;462700;;17300
